epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,0.4043980013398519,0.8510051241623965,0.9368131822592076,0.7066246056782335,19.89361834526062
2,0.1259288239547198,0.9601891998423334,0.1257733316968668,0.9621451104100947,1.882481336593628
3,0.08888321290299983,0.9716200236499803,0.10719283250651149,0.9589905362776026,1.9644360542297363
4,0.06642407991041994,0.9771383523847064,0.22354845472314758,0.9211356466876972,2.0399622917175293
5,0.042490792863443934,0.9885691761923532,0.05617420811335371,0.9779179810725552,1.8661072254180908
6,0.037244518392836434,0.9873866771777691,0.07577976560343515,0.9747634069400631,1.9684100151062012
7,0.03614556684665702,0.9885691761923532,0.07401278506000805,0.9747634069400631,1.9413414001464844
8,0.026567130824965805,0.9921166732361056,0.06581089435268651,0.9810725552050473,1.868636131286621
9,0.016439898943937478,0.9964525029562475,0.13998990113426835,0.9495268138801262,1.9075901508331299
10,0.021804978326183277,0.9940875049270792,0.23129929169683427,0.9337539432176656,1.8517544269561768
