epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,0.41518402145422956,0.850216791486007,0.9097982532218428,0.7034700315457413,9.907650709152222
2,0.12566774889127824,0.9601891998423334,0.16169195210896078,0.9369085173501577,4.177119731903076
3,0.09152403940800188,0.9672841939298384,0.09349589516358797,0.9621451104100947,4.1387059688568115
4,0.06905216794897122,0.9795033504138747,0.4947673691560041,0.8801261829652997,4.119383335113525
5,0.0451019563744117,0.9873866771777691,0.17213964659708908,0.9400630914826499,4.120484828948975
6,0.04520445131205953,0.9865983445013796,0.09496211532021546,0.9652996845425867,4.153663873672485
7,0.043914422193144925,0.9830508474576272,0.2450276288888432,0.9242902208201893,4.143868684768677
8,0.031152157778868206,0.991722506897911,0.06577586551852031,0.9810725552050473,4.14480447769165
9,0.01817586957515578,0.9952700039416634,0.30988157604018973,0.9148264984227129,4.1260905265808105
10,0.02291887554101085,0.9921166732361056,0.06323809573891034,0.9779179810725552,4.1296210289001465
